case,sample,action_mse,gripper_disagreement
Action RMS rank8,sample-1000.npz,0.04201672598719597,0.0
Action RMS rank8,sample-1001.npz,0.14313670992851257,0.0
Action RMS rank8,sample-1002.npz,0.08879531919956207,0.25
Action RMS rank8,sample-1003.npz,0.09406454861164093,0.0
Action RMS rank8,sample-1004.npz,0.06343051046133041,0.0
Action RMS rank8,sample-1005.npz,0.029860394075512886,0.0
Action RMS rank8,sample-1006.npz,0.036347486078739166,0.0
Action RMS rank8,sample-1007.npz,0.024023981764912605,0.0
Action RMS rank8,sample-1008.npz,0.06360291689634323,0.0
Action RMS rank8,sample-1009.npz,0.00896547269076109,0.0
Action RMS rank8,sample-1010.npz,0.07869430631399155,0.125
Action RMS rank8,sample-1011.npz,0.06887225806713104,0.0
Action RMS rank8,sample-1012.npz,0.10168365389108658,0.125
Action RMS rank8,sample-1013.npz,0.047087978571653366,0.0
Action RMS rank8,sample-1014.npz,0.1326080560684204,0.125
Action RMS rank8,sample-1015.npz,0.026307526975870132,0.0
Action RMS rank8,sample-1016.npz,0.032692473381757736,0.0
Action RMS rank8,sample-1017.npz,0.05604345351457596,0.0
Action RMS rank8,sample-1018.npz,0.07505462318658829,0.0
Action RMS rank8,sample-1019.npz,0.17295925319194794,0.0
Action RMS rank8,sample-1020.npz,0.029578451067209244,0.0
Action RMS rank8,sample-1021.npz,0.02906128764152527,0.0
Action RMS rank8,sample-1022.npz,0.03664419800043106,0.0
Action RMS rank8,sample-1023.npz,0.05876580998301506,0.0
Action RMS rank8,sample-1024.npz,0.11948241293430328,0.0
Action RMS rank8,sample-1025.npz,0.06250208616256714,0.25
Action RMS rank8,sample-1026.npz,0.10253369063138962,0.0
Action RMS rank8,sample-1027.npz,0.10300294309854507,0.5
Action RMS rank8,sample-1028.npz,0.02951519750058651,0.0
Action RMS rank8,sample-1029.npz,0.01943870075047016,0.0
Action RMS rank8,sample-1030.npz,0.09722542762756348,0.25
Action RMS rank8,sample-1031.npz,0.02013484016060829,0.0
Response SVD rank8,sample-1000.npz,0.059741802513599396,0.0
Response SVD rank8,sample-1001.npz,0.1378844529390335,0.0
Response SVD rank8,sample-1002.npz,0.07400763779878616,0.125
